cta_protocol_id,cta_protocol_no,submission_no,status_code,status_en,status_fr,start_date,end_date,nol_date,protocol_title_en,protocol_title_fr,conditions,manufacturer,brand_name_en,brand_name_fr,adult_male,adult_female,pediatric,last_update
56023,HEROS-1,237851,1,ONGOING,En cours,20200429,,20200403,"PROTECTING FRONTLINE HEALTH CARE WORKERS FROM COVID-19 WITH HYDROXYCHLOROQUINE PRE-EXPOSURE PROPHYLAXIS: A RANDOMIZED, PLACEBO CONTROLLED MULTI SITE TRIAL IN TORONTO, CANADA","PROTÉGEANT LES TRAVAILLEURS DES SOINS DE SANTÉ DE PREMIÈRE LIGNE DE COVID-19 AVEC HYDROXYCHLOROQUINE PROPHYLAXIE PRÉ-EXPOSITION : UN ESSAI CLINIQUE MULTICENTRIQUE, RANDOMISÉ, ET CONTRÔLÉ PAR PLACEBO À TORONTO, CANADA","{""CORONAVIRUS DISEASE (COVID-19)""}",UNIVERSITY HEALTH NETWORK,HYDROXYCHLOROQUINE,,true,true,,20200525 16:11:06 GMT
55919,2020-6549,237355,1,ONGOING,En cours,20200325,,20200325,POST-EXPOSURE PROPHYLAXIS OR PREEMPTIVE THERAPY FOR SARS-CORONAVIRUS-2: A PRAGMATIC RANDOMIZED CLINICAL TRIAL (COVID19 PEP RCT - CANADA),LA PROPHYLAXIE POST-EXPOSITION OU LE TRAITEMENT DE PRÉEMPTION DU SARS-CORONAVIRUS-2: UN ESSAI CLINIQUE RANDOMISÉ PRAGMATIQUE,"{""CORONAVIRUS DISEASE (COVID-19)""}",RESEARCH INSTITUTE OF THE MCGILL UNIVERSITY HEALTH CENTRE,HYDROXYCHLOROQUINE,,true,true,,20200525 16:11:06 GMT
56021,OZUHN-001,237848,1,ONGOING,En cours,20200507,,20200407,UMBRELLA PROTOCOL - U-DEPLOY: UHN UMBRELLA TRIAL DEFINING COORDINATED APPROACH TO PANDEMIC TRIALS OF COVID-19 AND DATA HARMONIZATION TO ACCELERATE DISCOVERY,U-DEPLOY : UHN ESSAI PARAPLUIE POUR PRÉCISER UNE APPROCHE COORDONNÉE POUR LES ESSAIS EN CAS DE PANDÉMIE DE COVID-19 ET L¿HARMONISATION DES DONNÉES POUR ACCÉLÉRER LA DÉCOUVERTE,"{""CORONAVIRUS DISEASE (COVID-19)""}",UNIVERSITY HEALTH NETWORK,RUXOLITINIB,,true,true,true,20200525 16:11:06 GMT
56133,PHRI.ACT.COVID19,238157,1,ONGOING,En cours,20200421,,20200418,"ANTI-CORONAVIRUS THERAPIES TO PREVENT PROGRESSION OF COVID-19 (ACT), A RANDOMIZED TRIAL","LES THÉRAPIES ANTI-CORONAVIRUS POUR EMPÊCHER LA PROGRESSION DE COVID-19 (TAC), UN ESSAI RANDOMISÉ","{""CORONAVIRUS DISEASE (COVID-19)""}",HAMILTON HEALTH SCIENCES CORPORATION,CHLOROQUINE / HYDROXYCHLOROQUINE / AZITHROMYCIN / INTERFERON BETA-1B,,true,true,,20200525 16:11:06 GMT
56367,9890,238851,3,PENDING,En suspens,,,20200505,PHASE I/II TRIAL: EXOGENOUS SURFACTANT ADMINISTRATION FOR PATIENTS WITH COVID-19,ADMINISTRATION DE SURFACTANT EXOGÈNE AUX PATIENTS ATTEINTS DE LA COVID-19,"{""CORONAVIRUS DISEASE (COVID-19)""}",ST JOSEPHS HEALTH CENTRE LONDON,BLES (BOVINE LIPID EXTRACT SURFACTANT SUSPENSION),BLES (SURFACTANT EXTRAIT DE LIPIDES DE BOVINS),true,true,,20200525 16:11:06 GMT
56155,GRAAL-2020-01,238201,1,ONGOING,En cours,20200505,,20200416,"A RANDOMIZED, OPEN-LABEL TRIAL OF CONVALESCENT PLASMA FOR HOSPITALIZED ADULTS WITH ACUTE COVID-19 RESPIRATORY ILLNESS (CONCOR-1)",ESSAI RANDOMISÉ ET OUVERT SUR LE PLASMA EN PHASE DE CONVALESCENCE CHEZ LES ADULTES HOSPITALISÉS ATTEINTS D¿UNE MALADIE RESPIRATOIRE AIGUË LIÉE À LA COVID 19 (CONCOR-1),"{""CORONAVIRUS DISEASE (COVID-19)""}",HAMILTON HEALTH SCIENCES CORPORATION,APHERESIS FROZEN PLASMA FROM RECOVERED COVID-19 PATIENTS (CONVALESCENT PLASMA),PLASMA APHÉRÈSE CONGELÉ PRÉLEVÉ CHEZ LES PATIENTS QUI S'ÉTAIENT RÉTABLIS DE LA COVID-19 (PLASMA EN PHASE DE CONVALESCENCE),true,true,,20200525 16:11:06 GMT
55846,2114,237108,1,ONGOING,En cours,20200407,,20200318,"A MULTI-CENTRE, ADAPTIVE, RANDOMIZED, OPEN-LABEL, CONTROLLED CLINICAL TRIAL OF THE SAFETY AND EFFICACY OF INVESTIGATIONAL THERAPEUTICS FOR THE TREATMENT OF COVID-19 IN HOSPITALIZED PATIENTS","UNE ÉTUDE MULTICENTRIQUE, RANDOMISÉE, SOUPLE, OUVERT, LES ESSAIS CLINIQUES CONTRÔLÉES DE L¿INNOCUITÉ ET DE L¿EFFICACITÉ DES PRODUITS THÉRAPEUTIQUES EXPÉRIMENTAUX POUR LE TRAITEMENT DE COVID-19 DANS LES PATIENTS HOSPITALISÉS","{""CORONAVIRUS DISEASE (COVID-19)""}",SUNNYBROOK RESEARCH INSTITUTE,LOPINAVIR-RITONAVIR / HYDROXYCHLOROQUINE / REMDESIVIR,,true,true,,20200525 16:11:06 GMT
56205,PREP2020,238396,1,ONGOING,En cours,20200506,,20200421,PRE-EXPOSURE PROPHYLAXIS FOR SARS-CORONAVIRUS-2: A PRAGMATIC RANDOMIZED CLINICAL TRIAL,PROPHYLAXIE PRÉ-EXPOSITION POUR SARS-CORONAVIRUS-2 : UN ESSAI CLINIQUE RANDOMISÉ PRAGMATIQUE,"{""CORONAVIRUS DISEASE (COVID-19)""}",UNIVERSITY OF MANITOBA,HYDROXYCHLOROQUINE,,true,true,,20200525 16:11:06 GMT
56081,BHC-RIB 5401-HC,238007,3,PENDING,En suspens,,,20200408,"AN OPEN LABEL STUDY TO EVALUATE THE SAFETY AND EFFICACY OF VIRAZOLE® (RIBAVIRIN FOR INHALATION SOLUTION, USP) IN HOSPITALIZED ADULT PARTICIPANTS WITH RESPIRATORY DISTRESS DUE TO COVID-19","UNE ÉTUDE DE L¿ÉTIQUETTE VISANT À ÉVALUER L¿INNOCUITÉ ET L¿EFFICACITÉ DE VIRAZOLE® (RIBAVIRINE POUR LA SOLUTION POUR INHALATION, USP) DANS LES PARTICIPANTS ADULTES HOSPITALISÉS AVEC DÉTRESSE RESPIRATOIRE EN RAISON DE COVID-19","{""CORONAVIRUS DISEASE (COVID-19)""}",VALEANT CANADA LP VALEANT CANADA S.E.C.,RIBAVIRIN,,true,true,,20200525 16:11:06 GMT
55916,EFC16844,237332,1,ONGOING,En cours,20200407,,20200324,"AN ADAPTIVE PHASE 3, RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED STUDY ASSESSING EFFICACY AND SAFETY OF SARILUMAB FOR HOSPITALIZED PATIENTS WITH COVID-19","ÉTUDE ADAPTATIVE DE PHASE 3, RANDOMISÉE, À DOUBLE INSU ET CONTRÔLÉE PAR PLACEBO ÉVALUANT L¿EFFICACITÉ ET L¿INNOCUITÉ DU SARILUMAB POUR LES PATIENTS HOSPITALISÉS INFECTÉS À LA COVID-19","{""CORONAVIRUS DISEASE (COVID-19)""}",SANOFI-AVENTIS CANADA INC,KEVZARA,KEVZARA,true,true,,20200525 16:11:06 GMT
56137,GS-US-540-5821,238163,1,ONGOING,En cours,20200427,,20200415,EXPANDED ACCESS TREATMENT PROTOCOL: REMDESIVIR (RDV; GS-5734) FOR THE TREATMENT OF SARS-COV2 (COV) INFECTION,UN ACCÈS ÉLARGI PROTOCOLE DE TRAITEMENT : REMDESIVIR (RDV; GS-5734) POUR LE TRAITEMENT DE L¿INFECTION SARS-COV2 (COV),"{""CORONAVIRUS DISEASE (COVID-19)""}",GILEAD SCIENCES CANADA INC,REMDESIVIR,,true,true,true,20200525 16:11:06 GMT
50213,MP-31-2019-2945,219212,1,ONGOING,En cours,20190429,,20180905,LESSENING ORGAN DYSFUNCTION WITH VITAMIN C (LOVIT).,DIMINUTION DU DYSFONCTIONNEMENT DES ORGANES À L'AIDE DE LA VITAMINE C (LOVIT).,"{""CORONAVIRUS DISEASE (COVID-19)"",SEPSIS}",CENTRE DE RECHERCHE DU CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,VITAMIN C (ASCORBIC ACID),VITAMIN C (ASCORBIC ACID),true,true,,20200525 16:11:06 GMT
55934,WA42380,237397,1,ONGOING,En cours,20200406,,20200325,"A RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED, MULTICENTER STUDY TO EVALUATE THE SAFETY AND EFFICACY OF TOCILIZUMAB IN PATIENTS WITH SEVERE COVID-19 PNEUMONIA",ÉTUDE MULTICENTRIQUE RANDOMISÉE À DOUBLE INSU CONTRÔLÉE PAR PLACEBO POUR ÉVALUER L¿INNOCUITÉ ET L¿EFFICACITÉ DU TOCILIZUMAB CHEZ LES PATIENTS ATTEINTS D¿UNE PNEUMONIE GRAVE LIÉE À LA COVID-19,"{""CORONAVIRUS DISEASE (COVID-19)""}",HOFFMANN LA ROCHE LIMITED,ACTEMRA,ACTEMRA,true,true,,20200525 16:11:06 GMT
56253,RAPID COVID COAG,238510,1,ONGOING,En cours,20200519,,20200424,COAGULOPATHY OF COVID-19: A PRAGMATIC RANDOMIZED CONTROLLED TRIAL OF THERAPEUTIC ANTICOAGULATION VERSUS STANDARD CARE AS A RAPID RESPONSE TO THE COVID-19 PANDEMIC (RAPID COVID COAG),COAGULOPATHIE DE LA COVID 19 : UN ESSAI CONTRÔLÉ ET RANDOMISÉ PRAGMATIQUE DE L¿ANTICOAGULOTHÉRAPIE THÉRAPEUTIQUE PAR RAPPORT AUX SOINS STANDARD COMME RÉPONSE RAPIDE À LA PANDÉMIE DE LA COVID 19 (COAG RAPIDE DE LA COVID).,"{""CORONAVIRUS DISEASE (COVID-19)""}",UNITY HEALTH TORONTO,FONDAPARINUX / INNOHEP / FRAGMIN / LOVENOX / LOVENOX HP / HEPARIN SODIUM INJECTION HEPARIN SODIUM AND 0.9% SODIUM CHLORIDE INJECTION / HEPARIN SODIUM IN 5% DEXTROSE INJECTION,FONDAPARINUX / INNOHEP / FRAGMIN / LOVENOX / LOVENOX HP / HEPARIN HEPARIN SODIUM AND 0.9% SODIUM CHLORIDE INJECTION / HEPARIN SODIUM IN 5% DEXTROSE INJECTION,true,true,,20200525 16:11:06 GMT
56350,CONCOR-KIDS,238820,3,PENDING,En suspens,,,20200504,"CONCOR-KIDS: A RANDOMIZED, MULTICENTERED, OPEN-LABEL PHASE 2 CLINICAL TRIAL OF THE SAFETY AND EFFICACY OF HUMAN CORONAVIRUS-IMMUNE CONVALESCENT PLASMA FOR THE TREATMENT OF COVID-19 DISEASE IN HOSPITALIZED PATIENTS","CONCOR-KIDS: UN ESSAI CLINIQUE DE PHASE 2 RANDOMISÉ, MULTICENTRIQUE ET OUVERT SUR L¿INNOCUITÉ ET L¿EFFICACITÉ DU [PLASMA CONVALESCENT HUMAIN IMMUNISÉ CONTRE LE CORONAVIRUS] POUR LE TRAITEMENT DE LA COVID 19 CHEZ LES PATIENTS HOSPITALISÉS","{""CORONAVIRUS DISEASE (COVID-19)""}",C17 COUNCIL,COVID-19 CONVALESCENT PLASMA (C19-CP) (APHERESIS FROZEN PLASMA FROM RECOVERED COVID-19 PATIENTS),PLASMA CONVALESCENT POUR LA COVID 19 (PC C19) (PLASMA CONGELÉ PAR APHÉRÈSE PROVENANT DE PATIENTS AYANT GUÉRI DE LA COVID 19),,,true,20200525 16:11:06 GMT
56368,115769,238857,3,PENDING,En suspens,,,20200509,SAFETY AND EFFICACY OF POST-EXPOSURE PROPHYLAXIS WITH HYDROXYCHLOROQUINE (HCQ) FOR THE PREVENTION OF CORONA VIRUS INFECTIOUS DISEASE-19 (COVID-19) IN HIGH-RISK PATIENTS/RESIDENTS IN INSTITUTIONS: A RANDOMIZED CONTROL TRIAL.,L¿INNOCUITÉ ET L¿EFFICACITÉ DE LA PROPHYLAXIE POST-EXPOSITION AVEC HYDROXYCHLOROQUINE POUR LA PRÉVENTION DE LA MALADIE INFECTUEUSE CORONAVIRUS (COVID-19) DANS LES PATIENTS À RISQUE ÉLEVÉ / RÉSIDANTS DANS LES ÉTABLISSEMENTS : UN ESSAI CONTRÔLÉ RANDOMISÉ.,"{""CORONAVIRUS DISEASE (COVID-19)""}",ST JOSEPHS HEALTH CARE PARKWOOD SITE,HYDROXYCHLOROQUINE,,true,true,,20200525 16:11:06 GMT
56370,COBRA,238868,3,PENDING,En suspens,,,20200508,"A RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED PHASE 3 STUDY: EFFICACY AND SAFETY OF RECOMBINANT BCG VPM1002 IN REDUCING SARS-COV-2 INFECTION RATE AND COVID-19 SEVERITY.",ÉTUDE RANDOMISÉE À DOUBLE INSU DE PHASE 3 CONTRÔLÉE PAR PLACEBO : EFFICACITÉ ET SÉCURITÉ DES BCG VPM1002 RECOMBINANTS POUR LA RÉDUCTION DU TAUX D¿INFECTION PAR LE SARS-COV-2 ET DE LA GRAVITÉ DE LA COVID-19,"{""CORONAVIRUS DISEASE (COVID-19)""}",PRINCESS MARGARET CANCER CENTRE,RECOMBINANT MYCOBACTERIUM BOVIS BCG¿UREC::HLY,MYCOBACTERIUM BOVIS RECOMBINANT BCG¿UREC::HLY,true,true,,20200525 16:11:06 GMT
56502,AD5-NCOV-2020003,239283,3,PENDING,En suspens,,,20200515,"A RANDOMIZED, OBSERVER-BLIND, DOSE-ESCALATION PHASE I/II CLINICAL TRIAL OF AD5-NCOV VACCINE IN HEALTHY ADULTS FROM 18 TO <85 YEARS OF AGE IN CANADA.","UN ESSAI CLINIQUE DE PHASE I/II RANDOMISÉ, À L'INSU DES OBSERVATEURS ET D'AUGMENTATION DE LA DOSE DU VACCIN AD5 NCOV CHEZ DES ADULTES EN SANTÉ ÂGÉS DE 18 ANS À PLUS DE 85 ANS AU CANADA","{""CORONAVIRUS DISEASE (COVID-19)""}",CANSINO BIOLOGICS INC.,RECOMBINANT NOVEL CORONAVIRUS VACCINE (ADENOVIRUS TYPE 5) (AD5-NCOV),,true,true,,20200525 16:11:06 GMT
56266,JF-4-2020,238558,1,ONGOING,En cours,20200508,,20200429,"INTERFERON LAMBDA FOR IMMEDIATE: ANTIVIRAL THERAPY AT DIAGNOSIS (ILIAD): A PHASE II RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED, MULTICENTER TRIAL TO EVALUATE THE EFFECT OF PEGINTERFERON LAMBDA FOR THE TREATMENT OF COVID-19","INTERFÉRON LAMBDA POUR TRAITEMENT ANTIVIRAL IMMÉDIAT APRÈS LE DIAGNOSTIC (ILAID) : UN ESSAI DE PHASE II MULTICENTRIQUE, RANDOMISÉ, DOUBLE INSU ET CONTRÔLÉ PAR PLACEBO VISANT À ÉVALUER L'EFFET DU PEGINTERFÉRON LAMBDA POUR LE TRAITEMENT DE LA COVID-19.","{""CORONAVIRUS DISEASE (COVID-19)""}",UNIVERSITY HEALTH NETWORK,PEGINTERFERON LAMBDA-1A,PEGINTERFERON LAMBDA-1A,true,true,,20200525 16:11:06 GMT
56007,SAIL-004,237708,1,ONGOING,En cours,20200415,,20200414,ASSESSMENT OF INVESTIGATIONAL MEDICATIONS ADJUNCT TO CLINICAL STANDARD OF CARE FOR TREATMENT OF MODERATE TO SEVERE CORONAVIRUS DISEASE (COVID-19),ÉVALUATION DES MÉDICAMENTS EXPÉRIMENTAUX COMPLÉMENT À LA NORME DE SOINS CLINIQUES POUR LE TRAITEMENT DE LA MALADIE CORONAVIRUS MODÉRÉE À GRAVE (COVID-19),"{""CORONAVIRUS DISEASE (COVID-19)""}",DR. LISA BARRETT,LOPINAVIR-RITONAVIR / HYDROXYCHLOROQUINE / BARICITINIB,,true,true,,20200525 16:11:06 GMT
56310,OZM-113,238691,3,PENDING,En suspens,,,20200429,THERAPEUTIC-DOSE ANTICOAGULATION FOR THE TREATMENT OF HOSPITALIZED PATIENTS WITH COVID-19: THE ANTITHROMBOTIC THERAPY TO AMELIORATE COMPLICATIONS OF COVID-19 (ATTACC) TRIAL,ANTICOAGULATION À DOSE THÉRAPEUTIQUE POUR LE TRAITEMENT DES PATIENTS HOSPITALISÉS EN RAISON DE LA COVID 19 : ESSAI SUR LE TRAITEMENT ANTITHROMBOTIQUE POUR L¿AMÉLIORATION DES COMPLICATIONS LIÉES À LA COVID 19 (TATACC),"{""CORONAVIRUS DISEASE (COVID-19)""}",UNIVERSITY OF MANITOBA,HEPARIN SODIUM / LOVENOX / FRAGMIN / INNOHEP,HEPARIN SODIUM / LOVENOX / FRAGMIN / INNOHEP,true,true,,20200525 16:11:06 GMT
56283,LAU-20-01,238614,3,PENDING,En suspens,,,20200502,"A DOUBLE-BLIND, RANDOMIZED, PLACEBO-CONTROLLED, PILOT PHASE II STUDY OF THE EFFICACY AND SAFETY OF LAU-7B IN THE TREATMENT OF ADULT HOSPITALIZED PATIENTS WITH COVID-19 DISEASE.","UN ESSAI PILOT DE PHASE II RANDOMISÉ, À DOUBLE INSU ET CONTRÔLÉ CONTRE PLACEBO, DE L'EFFICACITÉ ET DE L'INNOCUITÉ DE LAU-7B DANS LE TRAITEMENT DE PATIENTS ADULTES HOSPITALISÉS AVEC COVID-19 MALADIE.","{""CORONAVIRUS DISEASE (COVID-19)""}",LAURENT PHARMACEUTICALS,FENRETINIDE (LAU-7B),,true,true,,20200525 16:11:06 GMT
56347,MP-37-2021-6659,238811,3,PENDING,En suspens,,,20200504,"A MULTI-CENTRE, RANDOMIZED, BLINDED, PLACEBO CONTROLLED CLINICAL TRIAL OF THE SAFETY AND EFFECTIVENESS OF HYDROXYCHLOROQUINE FOR THE TREATMENT OF COVID-19 IN HOSPITALIZED CHILDREN.","UNE ÉTUDE MULTICENTRIQUE, RANDOMISÉE, À L¿INSU, CONTRÔLÉ PAR PLACEBO POUR ÉVALUER L¿INNOCUITÉ ET L¿EFFICACITÉ DE  L¿HYDROXYCHLOROQUINE POUR LE TRAITEMENT DE COVID-19 DANS LES ENFANTS HOSPITALISÉS","{""CORONAVIRUS DISEASE (COVID-19)""}",RESEARCH INSTITUTE OF THE MCGILL UNIVERSITY HEALTH CENTRE,HYDROXYCHLOROQUINE,,,,true,20200525 16:11:06 GMT
56436,BAI_COV19_01,239071,3,PENDING,En suspens,,,20200519,INHALED NO FOR THE TREATMENT OF COVID-19 CAUSED BY SARS-COV-2,L¿OXYDE NITRIQUE INHALÉ POUR LE TRAITEMENT DE COVID-19 CAUSÉS PAR SARS-COV-2,"{""CORONAVIRUS DISEASE (COVID-19)""}","BEYOND AIR, INC.",NITRIC OXIDE,,true,true,,20200525 16:11:06 GMT
