ct_intervention_id,ct_intervention_raw,who_drug_substances,who_covid_trial_substances,ct_intervention_types,text_class
2511445,Self-acupressure,"""No matches""","""No matches""","[""Behavioral""]",
705633,Lifestyle change promotion program,"""No matches""","""No matches""","[""Behavioral""]",
2511494,Rehabilitation exercise protocol,"""No matches""","""No matches""","[""Other""]",
2511823,BIO101,"""No matches""","""No matches""","[""Drug""]",
115,Amoxicillin-clavulanate,"[""Amoxicillin""]","""No matches""","[""Drug""]",
18834,Essential oils,"""No matches""","""No matches""","[""Drug""]",
2450545,Ramelteon 8mg,"[""Ramelteon""]","""No matches""","[""Drug""]",
1449495,M5049,"""No matches""","""No matches""","[""Drug""]",
707173,Bone conduction headphones,"""No matches""","""No matches""","[""Device""]",
145,Hydroxychloroquine Sulfate,"[""Hydroxychloroquine sulfate"", ""Hydroxychloroquine""]","""No matches""","[""Drug""]",
139,Standard of Care,"""No matches""","""No matches""","[""Other""]",
1055096,Gam-COVID-Vac,"""No matches""","""No matches""","[""Biological""]",
2400036,Daclatasvir,"[""Daclatasvir""]","""No matches""","[""Drug""]",
2402792,bromelain,"""No matches""","""No matches""","[""Dietary Supplement""]",
1277,Surgical facial mask,"""No matches""","""No matches""","[""Other""]",
988784,"Human Coach first, then Virtual Assistant","""No matches""","""No matches""","[""Other""]",
924804,Performing of lung ultrasound,"[""Lung""]","""No matches""","[""Device""]",
1794,Volatile Organic Compounds analysis,"""No matches""","""No matches""","[""Device""]",
925152,Intravenous Immune Globulin,"""No matches""","""No matches""","[""Biological""]",
925142,Standard Medical Treatment,"""No matches""","""No matches""","[""Drug""]",
2045730,Simple cognitive task intervention,"""No matches""","""No matches""","[""Behavioral""]",
585578,Anakinra +/- Ruxolitinib (stages 2b/3),"[""Ruxolitinib"", ""Anakinra""]","""No matches""","[""Drug""]",
585869,Tocilizumab +/- ruxolitinib (stages 2b/3),"[""Ruxolitinib"", ""Tocilizumab""]","""No matches""","[""Drug""]",
2163924,Desidustat,"[""Desidustat""]","""No matches""","[""Drug""]",
2400040,Placebo Daclatasvir,"[""Daclatasvir""]","""No matches""","[""Drug""]",
2400041,Placebo Sofusbuvir,"""No matches""","""No matches""","[""Drug""]",
2045729,Attention Placebo,"""No matches""","""No matches""","[""Behavioral""]",
920,Recombinant Bacterial ACE2 receptors -like enzyme of B38-CAP (rbACE2),"""No matches""","""No matches""","[""Drug""]",
2400042,Placebo Favipiravir,"[""Favipiravir""]","[""Favipiravir""]","[""Drug""]",
395447,"Ddrops® products, 50,000 IU, Oral","""No matches""","""No matches""","[""Dietary Supplement""]",
1722929,Ringer solution,"""No matches""","""No matches""","[""Drug""]",
990752,Ivermectin Pill,"[""Ivermectin""]","""No matches""","[""Drug""]",
990753,Combined ART/hydroxychloroquine,"[""Hydroxychloroquine""]","""No matches""","[""Drug""]",
2045612,VentaProst (inhaled epoprostenol delivered via a dedicated delivery system),"[""Epoprostenol""]","""No matches""","[""Drug""]",
345629,Inflammatory cytokines and chemokines profiles of patients with dexmedetomidine administration,"[""Dexmedetomidine""]","""No matches""","[""Other""]",
924599,mechanical ventilator settings and position,"""No matches""","""No matches""","[""Behavioral""]",
2510808,Certified cloth face mask plus preventive information,"""No matches""","""No matches""","[""Other""]",
2510825,Preventive information,"""No matches""","""No matches""","[""Behavioral""]",
585361,Avdoralimab,"""No matches""","""No matches""","[""Drug""]",
1722977,RUTI® vaccine,"""No matches""","""No matches""","[""Biological""]",
705662,MK-5475,"""No matches""","""No matches""","[""Drug""]",
2106672,Aerolized Hydroxychloroquine Sulfate,"[""Hydroxychloroquine sulfate"", ""Hydroxychloroquine""]","""No matches""","[""Drug""]",
1666542,Decidual Stromal Cells (DSC),"""No matches""","""No matches""","[""Biological""]",
2446498,ELMO PROJECT AT COVID-19: PROOF OF CONCEPT AND USABILITY,"""No matches""","""No matches""","[""Device""]",
1270,Telmisartan arm will receive 80 mg Telmisartan twice daily plus standard care.,"[""Telmisartan""]","""No matches""","[""Drug""]",
153,Remdesivir,"[""Remdesivir""]","""No matches""","[""Drug""]",
345988,Pre_lunch pranayama,"""No matches""","""No matches""","[""Behavioral""]",
345914,Morning pranayama,"""No matches""","""No matches""","[""Behavioral""]",
395006,Communication type,"""No matches""","""No matches""","[""Other""]",
1723044,Tissue plasminogen activator,"""No matches""","""No matches""","[""Drug""]",
345715,Tofacitinib 10 mg,"[""Tofacitinib""]","""No matches""","[""Drug""]",
790,Standards of Care,"""No matches""","""No matches""","[""Drug""]",
345915,Pre_dinner pranayama,"""No matches""","""No matches""","[""Behavioral""]",
345796,Mindfulness + Compassion Intervention (MC),"""No matches""","""No matches""","[""Behavioral""]",
585608,Sham intervention,"""No matches""","""No matches""","[""Other""]",
1666677,Drug: NA-831,"""No matches""","""No matches""","[""Drug""]",
1666889,NA-831 and Atazanavir,"[""Atazanavir""]","""No matches""","[""Combination Product""]",
1666863,NA-831and Dexamethasone,"[""Dexamethasone""]","""No matches""","[""Combination Product""]",
1666750,Atazanavir and Dexamethasone,"[""Dexamethasone"", ""Atazanavir""]","""No matches""","[""Combination Product""]",
251,Postural Positioning,"""No matches""","""No matches""","[""Other""]",
2402791,Quercetin,"[""Quercetin""]","""No matches""","[""Drug""]",
988808,"Virtual Assistant first, then Human Coach","""No matches""","""No matches""","[""Other""]",
396619,Part 1 - TL-895,"""No matches""","""No matches""","[""Drug""]",
396687,Part 2 - Placebo,"""No matches""","""No matches""","[""Drug""]",
2108437,Symptoms entered into the CovidX application,"""No matches""","""No matches""","[""Other""]",
1394082,DUR-928,"""No matches""","""No matches""","[""Drug""]",
396618,Part 2 - TL-895,"""No matches""","""No matches""","[""Drug""]",
1297,HFNC,"""No matches""","""No matches""","[""Device""]",
708,Physiological saline solution,"""No matches""","""No matches""","[""Drug""]",
989946,Tocilizumab 20 MG/ML Intravenous Solution {ACTEMRA}_#1 (2 doses),"[""Tocilizumab""]","""No matches""","[""Drug""]",
1018,Leflunomide,"[""Leflunomide""]","""No matches""","[""Drug""]",
349,Usual antibiotic treatment,"""No matches""","""No matches""","[""Other""]",
347528,Normal Saline Infusion + standard of care,"""No matches""","""No matches""","[""Drug""]",
586995,pulmonary anomalies 4 months after documented COVID-19 pneumonia,"""No matches""","""No matches""","[""Diagnostic Test""]",
1305,Convalescent Plasma 2 Units,"[""Plasma""]","""No matches""","[""Biological""]",
20699,Low dosage Inactivated SARS-CoV-2 Vaccine on a 0- and 14-day schedule,"""No matches""","[""SARS-CoV-2 Vaccine""]","[""Biological""]",
2446591,oral co-trimoxazole,"[""Co-trimoxazole""]","""No matches""","[""Drug""]",
2449052,Phone call,"""No matches""","""No matches""","[""Other""]",
347497,Aviptadil by intravenous infusion + standard of care,"[""Aviptadil""]","""No matches""","[""Drug""]",
344,conventional management of patients,"""No matches""","""No matches""","[""Other""]",
1023,Medical Ozone procedure,"[""Ozone""]","""No matches""","[""Procedure""]",
367,Best supportive Care (BSC) + IFX-1,"""No matches""","[""IFX 1""]","[""Drug""]",
396765,Nafamostat Mesylate,"[""Nafamostat""]","""No matches""","[""Drug""]",
1098,Oral 25-Hydroxyvitamin D3,"""No matches""","""No matches""","[""Drug""]",
31,Azithromycin,"[""Azithromycin""]","""No matches""","[""Drug""]",
1240799,Therapeutic plasma exchange (TPE),"[""Plasma""]","""No matches""","[""Biological""]",
707527,biopsies of subcutaneous adipose tissue,"""No matches""","""No matches""","[""Procedure""]",
345667,Self-questionnary,"""No matches""","""No matches""","[""Behavioral""]",
345664,NG test,"""No matches""","""No matches""","[""Diagnostic Test""]",
2404624,NK-1R antagonist,"""No matches""","""No matches""","[""Drug""]",
284,Brief educational video,"""No matches""","""No matches""","[""Behavioral""]",
585707,Removal of dead space filter,"""No matches""","""No matches""","[""Other""]",
585715,Iloprost,"[""Iloprost""]","""No matches""","[""Drug""]",
1054590,COVID-19 Swab,"""No matches""","""No matches""","[""Diagnostic Test""]",
585701,Isotonic saline,"""No matches""","""No matches""","[""Drug""]",
346120,Colchicine plus symptomatic treatment (paracetamol),"[""Colchicine"", ""Paracetamol""]","""No matches""","[""Drug""]",
4,Hydroxychloroquine,"[""Hydroxychloroquine""]","""No matches""","[""Drug""]",
765,Pembrolizumab (MK-3475),"[""Pembrolizumab""]","""No matches""","[""Biological""]",
50,Placebo oral tablet,"""No matches""","""No matches""","[""Drug""]",
585369,INOpulse,"""No matches""","""No matches""","[""Combination Product""]",
51,Placebo,"""No matches""","""No matches""","[""Drug""]",
346128,Symptomatic treatment (paracetamol or best symptomatic treatment based on doctor recommendations),"[""Paracetamol""]","""No matches""","[""Drug""]",
132,Defibrotide Injection,"[""Defibrotide""]","""No matches""","[""Drug""]",
1240842,Standard care therapy,"""No matches""","""No matches""","[""Other""]",
922,Medically Tailored Meals,"""No matches""","""No matches""","[""Other""]",
1239505,AlloStim,"""No matches""","""No matches""","[""Drug""]",
1766676,Caring Contacts,"""No matches""","""No matches""","[""Other""]",
705971,FNC+Standard of Care,"""No matches""","""No matches""","[""Drug""]",
1431,Telehealth monitoring,"""No matches""","""No matches""","[""Other""]",
1766653,Ampion,"""No matches""","""No matches""","[""Biological""]",
706111,Brequinar,"[""Brequinar""]","""No matches""","[""Drug""]",
705738,Mindfullness based cognitive program,"""No matches""","""No matches""","[""Behavioral""]",
1723520,Tramadol,"[""Tramadol""]","""No matches""","[""Drug""]",
740,Hydrocortisone,"[""Hydrocortisone""]","""No matches""","[""Drug""]",
1723553,Fit test,"""No matches""","""No matches""","[""Device""]",
1723373,Filtration Test,"""No matches""","""No matches""","[""Device""]",
1448067,Anti-SARS-CoV-2 IgT seropositivity,"""No matches""","""No matches""","[""Biological""]",
288,Neuromuscular Electrical Stimulation,"""No matches""","""No matches""","[""Other""]",
1425,Physical Therapy Exercise,"""No matches""","""No matches""","[""Other""]",
705970,FNC dummy tablet+Standard of Care,"""No matches""","""No matches""","[""Drug""]",
1723442,Healthy Minds Program Foundations Training,"""No matches""","""No matches""","[""Behavioral""]",
395773,Standard of care for SARS-CoV-2 infection,"""No matches""","""No matches""","[""Drug""]",
2047574,Therapeutic Plasma Exchange (TPE),"[""Plasma""]","""No matches""","[""Procedure""]",
585736,SSE educational intervention,"""No matches""","""No matches""","[""Behavioral""]",
19234,Self-Compassion for Chronic Pain Virtual Group Treatment Program,"""No matches""","""No matches""","[""Behavioral""]",
734,Interferon-β1a,"[""Interferon""]","""No matches""","[""Drug""]",
754,APL-9,"""No matches""","""No matches""","[""Drug""]",
761,Video based aerobic exercise,"""No matches""","""No matches""","[""Other""]",
926437,Low Dose Control,"""No matches""","""No matches""","[""Drug""]",
345807,Mindfulness Alone (MO) Intervention,"""No matches""","""No matches""","[""Behavioral""]",
345840,Yoga,"""No matches""","""No matches""","[""Other""]",
585816,Maintenance or reduction of immunosuppression,"""No matches""","""No matches""","[""Other""]",
2449328,SAR443122,"""No matches""","""No matches""","[""Drug""]",
706088,REGN10933+REGN10987 combination therapy,"""No matches""","""No matches""","[""Drug""]",
706358,SARS-CoV-2 convalescent plasma treatment,"[""Plasma""]","""No matches""","[""Biological""]",
1723542,Standard care delivered in the isolation hospitals.,"""No matches""","""No matches""","[""Other""]",
1392456,mavrilimumab,"[""Mavrilimumab""]","""No matches""","[""Drug""]",
947,Kerecis Oral and Nasal Spray,"""No matches""","""No matches""","[""Device""]",
1766917,N-Acetyl cysteine,"[""Cysteine""]","""No matches""","[""Drug""]",
2045900,Convalescent Plasma (CP),"[""Plasma""]","""No matches""","[""Biological""]",
2045905,Standard COVID-19 therapies,"""No matches""","""No matches""","[""Drug""]",
1239858,JS016 (anti-SARS-CoV-2 monoclonal antibody),"""No matches""","""No matches""","[""Combination Product""]",
395615,Anti-coronavirus antibodies (immunoglobulins) obtained with DFPP form convalescent patients,"""No matches""","""No matches""","[""Biological""]",
1239704,Abivertinib,"[""Abivertinib""]","""No matches""","[""Drug""]",
2209686,Mucodentol,"""No matches""","""No matches""","[""Drug""]",
346788,Budesonide dry powder inhaler,"[""Budesonide""]","""No matches""","[""Drug""]",
1120,Hydroxychloroquine + Placebo,"[""Hydroxychloroquine""]","""No matches""","[""Drug""]",
1240754,Ivermectin wth chloroquine,"[""Chloroquine"", ""Ivermectin""]","""No matches""","[""Drug""]",
1271,MuscleSound Ultrasound,"""No matches""","""No matches""","[""Device""]",
1553,Abidol hydrochloride,"""No matches""","""No matches""","[""Drug""]",
1389,Blood sample,"""No matches""","""No matches""","[""Diagnostic Test""]",
345730,BCG vaccine,"[""Bcg vaccine""]","""No matches""","[""Biological""]",
2045410,Vit D,"""No matches""","""No matches""","[""Drug""]",
2045431,Ritonavir,"[""Ritonavir""]","""No matches""","[""Drug""]",
2045432,Lopinavir,"[""Lopinavir""]","""No matches""","[""Drug""]",
429,Baricitinib,"[""Baricitinib""]","""No matches""","[""Drug""]",
2402992,Online Intervention Mental Health COVID-19,"""No matches""","""No matches""","[""Behavioral""]",
19778,Prediction Market,"""No matches""","""No matches""","[""Other""]",
1611149,Feeling Good Digital App,"""No matches""","""No matches""","[""Other""]",
1667204,Chlorpromazine,"[""Chlorpromazine""]","""No matches""","[""Drug""]",
1723655,Training session adressing information and health literacy,"""No matches""","""No matches""","[""Behavioral""]",
2209690,Personal protective equipment,"""No matches""","""No matches""","[""Device""]",
925240,Pentoxifylline,"[""Pentoxifylline""]","""No matches""","[""Drug""]",
706253,"Cerebrospinal fluid sampling, meningeal and brain parenchyma biopsies","[""Brain""]","""No matches""","[""Drug""]",
2449469,"Assessing antibody responses, neutralizing capacity and memory B-cell function","""No matches""","""No matches""","[""Diagnostic Test""]",
1335411,Mesenchymal stromal cells,"""No matches""","""No matches""","[""Biological""]",
335,Hyperbaric oxygen treatment (HBOT) i.e. inhalation of pressurized oxygen delivered by a hyperbaric chamber (drug/device),"[""Oxygen""]","""No matches""","[""Combination Product""]",
996,"Oxygen-ozone therapy, probiotic supplementation and Standard of care","[""Ozone"", ""Oxygen""]","""No matches""","[""Other""]",
586257,Virtual Care at Home,"""No matches""","""No matches""","[""Other""]",
346299,NIVOLUMAB,"[""Nivolumab""]","""No matches""","[""Drug""]",
346298,Routine standard of care,"""No matches""","""No matches""","[""Other""]",
2045996,Dipyridamole ER 200mg/ Aspirin 25mg orally/enterally AND Standard of care,"[""Dipyridamole""]","""No matches""","[""Drug""]",
347,Hydroxychloroquine plus Nitazoxanide,"[""Nitazoxanide"", ""Hydroxychloroquine""]","""No matches""","[""Combination Product""]",
1667333,C21,"""No matches""","""No matches""","[""Drug""]",
586231,lanadelumab,"[""Lanadelumab""]","""No matches""","[""Biological""]",
706371,Serological testing,"""No matches""","""No matches""","[""Diagnostic Test""]",
1650,Umbilical Cord Mesenchymal Stem Cells,"""No matches""","""No matches""","[""Biological""]",
2449555,chest x-ray,"""No matches""","""No matches""","[""Diagnostic Test""]",
915,Lung Irradiation,"[""Lung""]","""No matches""","[""Radiation""]",
730,Standard interface,"""No matches""","""No matches""","[""Other""]",
585667,HIT-exercise,"""No matches""","""No matches""","[""Other""]",
346858,Ciclesonide 160Mcg Inhaler,"[""Ciclesonide""]","""No matches""","[""Drug""]",
979,"Treatment group: will receive a combination of Nitazoxanide, Ribavirin and Ivermectin for a duration of seven days :","[""Ribavirin"", ""Nitazoxanide"", ""Ivermectin""]","""No matches""","[""Drug""]",
17942,WebEx Physical Activity Program,"""No matches""","""No matches""","[""Other""]",
586182,regular care,"""No matches""","""No matches""","[""Other""]",
346340,Opaganib,"[""Opaganib""]","""No matches""","[""Drug""]",
336,Honey,"[""Honey""]","""No matches""","[""Drug""]",
1294268,Hydroxychloroquin with Azithromycin,"[""Azithromycin""]","""No matches""","[""Drug""]",
925496,Unified Protocol for COVID-19 Parenting Stress (UP-COVID),"""No matches""","""No matches""","[""Behavioral""]",
925325,SHG,"""No matches""","""No matches""","[""Behavioral""]",
1239948,MenCare+/Bandebereho fathers'/couples' group education,"""No matches""","""No matches""","[""Behavioral""]",
1335495,Prasugrel Hydrochloride 10 MG Oral Tablet,"[""Prasugrel"", ""Prasugrel Hydrochloride""]","""No matches""","[""Drug""]",
1040,WJ-MSCs,"""No matches""","""No matches""","[""Biological""]",
1239955,NasoVAX,"""No matches""","""No matches""","[""Biological""]",
925443,Anti SARS-CoV 2 Convalescent Plasma in severe COVID-19 patients,"[""Plasma""]","""No matches""","[""Biological""]",
346593,INC424 / Ruxolitinib,"[""Ruxolitinib""]","""No matches""","[""Drug""]",
20706,Placebo on a 0- and 28-day schedule,"""No matches""","""No matches""","[""Biological""]",
20866,Medium dosage Inactivated SARS-CoV-2 Vaccine on a 0- and 28-day schedule,"""No matches""","[""SARS-CoV-2 Vaccine""]","[""Biological""]",
129,Losartan,"[""Losartan""]","""No matches""","[""Drug""]",
743,UC-MSCs,"""No matches""","""No matches""","[""Biological""]",
178,Sarilumab,"[""Sarilumab""]","""No matches""","[""Drug""]",
2449958,inhaled type I interferon,"[""Interferon""]","""No matches""","[""Drug""]",
2449960,WFI water nebulization,"[""Water""]","""No matches""","[""Drug""]",
840,Digital cardiac Counseling,"""No matches""","""No matches""","[""Other""]",
360,Convalescent Plasma,"[""Plasma""]","""No matches""","[""Biological""]",
254,Standard treatment,"""No matches""","""No matches""","[""Other""]",
1055187,Intravenous Infusions of Stem Cells,"""No matches""","""No matches""","[""Biological""]",
1293782,Mesenchymal stem cells,"""No matches""","""No matches""","[""Drug""]",
346569,SNDX-6352,"""No matches""","""No matches""","[""Drug""]",
144,Hyperimmune plasma,"[""Plasma""]","""No matches""","[""Biological""]",
1498,Monitoring Visit - Week 8,"""No matches""","""No matches""","[""Diagnostic Test""]",
925384,Anti SARS-CoV 2 Convalescent Plasma in critical COVID-19 patients,"[""Plasma""]","""No matches""","[""Biological""]",
2046128,diagnostic,"""No matches""","""No matches""","[""Diagnostic Test""]",
706268,PRO-SERO-COV,"""No matches""","""No matches""","[""Other""]",
1335324,Transitional Online Peer Support Group (n=24),"""No matches""","""No matches""","[""Behavioral""]",
1335265,"Control Group (pharmacotherapy and/or psychotherapy, n=24)","""No matches""","""No matches""","[""Other""]",
18398,Mindfulness program,"""No matches""","""No matches""","[""Behavioral""]",
925500,BAT2020,"""No matches""","""No matches""","[""Drug""]",
346663,Accuchek Inform II platform,"""No matches""","""No matches""","[""Device""]",
346459,Freestyle Libre 14 day CGM system,"""No matches""","""No matches""","[""Device""]",
706274,autologous adipose-derived stem cells,"""No matches""","""No matches""","[""Biological""]",
586819,Farmalarm,"""No matches""","""No matches""","[""Other""]",
2046189,Breath Test & Cheek Swab,"""No matches""","""No matches""","[""Diagnostic Test""]",
1055343,Gam-COVID-Vac Lyo,"""No matches""","""No matches""","[""Biological""]",
1067,"Two doses of placebo at the schedule of day 0,28","""No matches""","""No matches""","[""Other""]",
586172,Serum tube collection,"""No matches""","""No matches""","[""Biological""]",
2447267,Saline Placebo,"""No matches""","""No matches""","[""Drug""]",
434,alpha one antitrypsin inhalation,"""No matches""","""No matches""","[""Drug""]",
61,Ringer's Acetate,"""No matches""","""No matches""","[""Drug""]",
2447269,Aprepitant injectable emulsion,"[""Aprepitant""]","""No matches""","[""Drug""]",
346691,Nasopharyngeal swab,"""No matches""","""No matches""","[""Diagnostic Test""]",
346490,Rapid detection test,"""No matches""","""No matches""","[""Diagnostic Test""]",
346492,Stool collection,"""No matches""","""No matches""","[""Diagnostic Test""]",
687,Azithromycin 500 mg,"[""Azithromycin""]","""No matches""","[""Drug""]",
1593,Interferon-Alpha2B,"[""Interferon""]","""No matches""","[""Drug""]",
1121,MSC,"""No matches""","""No matches""","[""Biological""]",
18085,Emtricitabine/Tenofovir Alafenamide 200 MG-25 MG Oral Tablet,"[""Tenofovir"", ""Emtricitabine"", ""Tenofovir alafenamide""]","""No matches""","[""Drug""]",
1767161,Questionnaire Administration,"""No matches""","""No matches""","[""Other""]",
1335471,SBI-101,"""No matches""","""No matches""","[""Biological""]",
1056411,Cholchicine,"""No matches""","""No matches""","[""Drug""]",
925570,Standard treatment for COVID-19,"""No matches""","""No matches""","[""Other""]",
395996,Ivermectin (IVM),"[""Ivermectin""]","""No matches""","[""Drug""]",
1335356,Sham,"""No matches""","""No matches""","[""Device""]",
1767944,Eye Movement Desensitisation and Reprocessing Recent traumatic Event Protocol,"[""Eye""]","""No matches""","[""Other""]",
30,Peginterferon Lambda-1a,"[""Peginterferon lambda-1a""]","""No matches""","[""Drug""]",
461,ARBOX,"""No matches""","""No matches""","[""Dietary Supplement""]",
1448481,CVnCoV Vaccine,"""No matches""","""No matches""","[""Biological""]",
1055560,Saline containing 1% Human serum albumin（solution without UC-MSCs）,"""No matches""","""No matches""","[""Biological""]",
706581,Thymalfasin,"[""Thymalfasin""]","""No matches""","[""Drug""]",
395955,TRV027,"""No matches""","""No matches""","[""Biological""]",
395990,sodium chloride 0.9%,"[""Chloride"", ""Sodium"", ""Sodium chloride""]","""No matches""","[""Other""]",
706393,Chloroquine Phosphate Tablets,"[""Chloroquine"", ""Chloroquine phosphate""]","""No matches""","[""Drug""]",
1140,mRNA-1273,"""No matches""","[""mRNA 1273""]","[""Biological""]",
106,Tocilizumab,"[""Tocilizumab""]","""No matches""","[""Drug""]",
82,Anakinra,"[""Anakinra""]","""No matches""","[""Drug""]",
1240067,Nitazoxanide with ivermectin,"[""Nitazoxanide"", ""Ivermectin""]","""No matches""","[""Drug""]",
1240174,Blood sample for serological test,"""No matches""","""No matches""","[""Diagnostic Test""]",
586656,Ivermectin Tablets,"[""Ivermectin""]","""No matches""","[""Drug""]",
478,Standard Donor Plasma,"[""Plasma""]","""No matches""","[""Biological""]",
2164704,PHR160 Spray,"""No matches""","""No matches""","[""Drug""]",
925706,Convalesscent Plasma,"[""Plasma""]","""No matches""","[""Drug""]",
1627,Pacritinib,"[""Pacritinib""]","""No matches""","[""Drug""]",
1144,0.12% Chlorhexidine oral/nasal rinse,"[""Chlorhexidine""]","""No matches""","[""Drug""]",
298,Interferon-Beta,"[""Interferon"", ""Interferon beta""]","""No matches""","[""Drug""]",
586428,Omnibiotic AAD,"""No matches""","""No matches""","[""Dietary Supplement""]",
510,alveolar recruitment,"""No matches""","""No matches""","[""Procedure""]",
1145,Hydroxychloroquine + placebo,"[""Hydroxychloroquine""]","""No matches""","[""Drug""]",
1448643,Interferon-ß-1a,"[""Interferon""]","""No matches""","[""Drug""]",
586306,Radiotherapy,"""No matches""","""No matches""","[""Radiation""]",
925667,Neuromuscular Blocking Agents,"""No matches""","""No matches""","[""Drug""]",
1652,Bovine Lipid Extract Surfactant,"[""Bovine lipid extract surfactant""]","""No matches""","[""Drug""]",
18106,EP,"""No matches""","""No matches""","[""Diagnostic Test""]",
1649,hydroxychloroquine + azithromycin,"[""Hydroxychloroquine"", ""Azithromycin""]","""No matches""","[""Drug""]",
1130,IC14,"""No matches""","""No matches""","[""Biological""]",
925728,Hypothermia,"""No matches""","""No matches""","[""Device""]",
1658,Sterile Normal Saline for Intravenous Use,"""No matches""","""No matches""","[""Drug""]",
1665,Liberase Enzyme (Roche),"""No matches""","""No matches""","[""Drug""]",
1407,Nitric Oxide delivered via LungFit system,"[""Nitric oxide""]","""No matches""","[""Device""]",
56,Lopinavir / Ritonavir,"[""Ritonavir"", ""Lopinavir""]","""No matches""","[""Drug""]",
1,Hydroxychloroquine sulfate &Azithromycin,"[""Hydroxychloroquine sulfate"", ""Hydroxychloroquine"", ""Azithromycin""]","""No matches""","[""Drug""]",
1155,Current care per UCLA treating physicians,"""No matches""","""No matches""","[""Other""]",
1335776,Physical Exercises,"""No matches""","""No matches""","[""Other""]",
1768073,Camostat,"[""Camostat""]","""No matches""","[""Drug""]",
1724224,Trauma-informed yoga video recording,"""No matches""","""No matches""","[""Behavioral""]",
2046534,Woebot Substance Use Disorder,"""No matches""","""No matches""","[""Other""]",
523,LSALT peptide,"""No matches""","""No matches""","[""Drug""]",
393,Convalescent plasma,"[""Plasma""]","""No matches""","[""Drug""]",
589,Chloroquine,"[""Chloroquine""]","""No matches""","[""Drug""]",
52,Vitamin D,"""No matches""","""No matches""","[""Dietary Supplement""]",
